year,start_p,end_p,start_t,end_t,thr_used,start_g,end_g,start_final,end_final,length_days,start_p_doy,end_p_doy,start_t_doy,end_t_doy,start_g_doy,end_g_doy,start_final_doy,end_final_doy
2015,2015-04-12 00:00:00+00:00,2015-12-20 00:00:00+00:00,2015-04-10 00:00:00+00:00,2015-12-31 00:00:00+00:00,20.0,2015-04-05 00:00:00+00:00,2015-05-31 00:00:00+00:00,2015-04-10 00:00:00+00:00,2015-05-31 00:00:00+00:00,52,102,354,100,365,95,151,100,151
2016,2016-04-04 00:00:00+00:00,2016-12-16 00:00:00+00:00,2016-04-02 00:00:00+00:00,2016-12-29 00:00:00+00:00,20.0,2016-03-28 00:00:00+00:00,2016-05-17 00:00:00+00:00,2016-04-02 00:00:00+00:00,2016-05-17 00:00:00+00:00,46,95,351,93,364,88,138,93,138
2017,2017-04-16 00:00:00+00:00,2017-12-23 00:00:00+00:00,2017-04-14 00:00:00+00:00,2017-12-31 00:00:00+00:00,20.0,2017-04-09 00:00:00+00:00,2017-05-24 00:00:00+00:00,2017-04-14 00:00:00+00:00,2017-05-24 00:00:00+00:00,41,106,357,104,365,99,144,104,144
2018,2018-03-25 00:00:00+00:00,2018-12-16 00:00:00+00:00,2018-01-03 00:00:00+00:00,2018-12-31 00:00:00+00:00,20.0,2018-03-17 00:00:00+00:00,2018-05-08 00:00:00+00:00,2018-03-17 00:00:00+00:00,2018-05-08 00:00:00+00:00,53,84,350,3,365,76,128,76,128
2019,2019-05-02 00:00:00+00:00,2019-12-19 00:00:00+00:00,2019-04-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,20.0,2019-04-25 00:00:00+00:00,2019-05-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,32,122,353,120,365,115,151,120,151
2020,2020-04-20 00:00:00+00:00,2020-12-19 00:00:00+00:00,2020-04-17 00:00:00+00:00,2020-12-31 00:00:00+00:00,20.0,2020-04-12 00:00:00+00:00,2020-05-27 00:00:00+00:00,2020-04-17 00:00:00+00:00,2020-05-27 00:00:00+00:00,41,111,354,108,366,103,148,108,148
2021,2021-03-28 00:00:00+00:00,2021-12-20 00:00:00+00:00,2021-03-24 00:00:00+00:00,2021-12-31 00:00:00+00:00,20.0,2021-03-19 00:00:00+00:00,2021-05-09 00:00:00+00:00,2021-03-24 00:00:00+00:00,2021-05-09 00:00:00+00:00,47,87,354,83,365,78,129,83,129
2022,2022-04-16 00:00:00+00:00,2022-12-19 00:00:00+00:00,2022-04-14 00:00:00+00:00,2022-12-31 00:00:00+00:00,20.0,2022-04-10 00:00:00+00:00,2022-05-24 00:00:00+00:00,2022-04-14 00:00:00+00:00,2022-05-24 00:00:00+00:00,41,106,353,104,365,100,144,104,144
2023,2023-04-03 00:00:00+00:00,2023-12-18 00:00:00+00:00,2023-03-30 00:00:00+00:00,2023-12-31 00:00:00+00:00,20.0,2023-03-25 00:00:00+00:00,2023-05-21 00:00:00+00:00,2023-03-30 00:00:00+00:00,2023-05-21 00:00:00+00:00,53,93,352,89,365,84,141,89,141
2024,2024-04-02 00:00:00+00:00,2024-12-21 00:00:00+00:00,2024-03-30 00:00:00+00:00,2024-12-31 00:00:00+00:00,20.0,2024-03-26 00:00:00+00:00,2024-05-12 00:00:00+00:00,2024-03-30 00:00:00+00:00,2024-05-12 00:00:00+00:00,44,93,356,90,366,86,133,90,133
2025,2025-03-25 00:00:00+00:00,2025-09-26 00:00:00+00:00,2025-01-03 00:00:00+00:00,2025-10-01 00:00:00+00:00,20.0,2025-03-18 00:00:00+00:00,2025-05-12 00:00:00+00:00,2025-03-18 00:00:00+00:00,2025-05-12 00:00:00+00:00,56,84,269,3,274,77,132,77,132
